product_name,price
"Redken Acidic Bonding Concentrate Shampoo, Conditioner, Leave-In Treatment SET",$61.28 to $78.92
Redken Extreme Length Shampoo and Conditioner DUO Set (1 Liter Each),$69.25
Moroccanoil Professional Shampoo 67.6oz / 2L,$67.06
Nioxin Hair Fall Defense Shampoo - Shampoo for Hair Loss 240ml / 8oz,$22.99
Moroccanoil Color Continue Shampoo 8.5 oz-Conditioner 8.5oz DUO,$27.20
Davines OI Shampoo 280ml 9.46oz,$32.00
"NIOXIN System 1 Cleanser Shampoo 33.8 oz, 1 Liter (New packaging)",$28.50
"Moroccanoil Hydration Shampoo 8.5oz, Conditioner 8.5 oz + Treatment oil (.85oz)",$44.99
Redken Extreme Length with Biotin Shampoo and Conditioner Set 33.8oz Liter Each,$68.49
Sebastian Dark Oil Duo Set 33.8oz - free 2 day shipping,$39.50
6 X 4.5 Oz Neutrogena T/Sal Therapeutic Shampoo 05/2024. 05/2024. 05/2024,$40.25
VIchy Dercos Anti dandruff DS Shampoo For Normal to oily hair 6.7oz/200ml,$22.97
MATRIX Total Results Keep Me VIVID Shampoo 33.8oz [NEW PACKAGE],$24.99
Redken All Soft Mega Curls Shampoo and Conditioner 10.1 oz.,$32.00
Caviar Anti-Aging Multiplying Volume Shampoo by Alterna for Unisex - 8.5 oz,$15.96
Amika: the kure Bond Repair Shampoo 9.2 oz 275 ml - New FREE SHIP (bb),$14.36
Nioxin System 2 Cleanser Shampoo and Scalp Therapy Conditioner Duo 33.8 Oz,$45.99
PUREOLOGY Hydrate Shampoo and Conditioner Liter Duo SET,$97.56
AVEDA Shampure Nurturing SHAMPOO 8.5 oz New,$16.99
Tressa Watercolors Intense Color Shampoo 8.5oz (Choose Your Own),$12.95 to $14.95
Hims Thick Fix Shampoo and Conditioner Set for Men - Thickening & Moisturizing,$24.95
Pureology Hydrate Shampoo and Conditioner Duo Set 9 OZ EACH,$39.99
Pureology HYDRATE Shampoo and Conditioner 9 fl. oz.,$42.00
Same Day Ship Moroccanoil Volume Shampoo And Conditioner 8.5 Fl oz Duo,$36.99
LOT OF 5 NUTRAFOL ROOT PURIFIER SCALP MICROBIOME SHAMPOO 30ML*5 =150ML,$19.99
Brazilian Blowout Acai Anti-frizz Shampoo & Conditioner 12 Oz,$38.22
